,Priority,text
0,P1,need disabled hover standard copy icon copy clipboard desktop
2,P3,text console allow use text console preference support allow console input bold
4,P2,use # display variable type object view value primitive show concrete display object value need define thread say thread mean object type say vm thread mean represenation thread object type com.oti.defrogger.model debugger new thread do following lock vm thread other thread invoke vm thread set flag vm thread true use send object vm thread set false unlock vm thread flag breakpoint watchpoint exception do stop debugger - debugger stop method ordinary manner breakpoint watchpoint exception time performance run - time behaviour switch simple implementation robust account breakpoint support release implementation plugin file infinite loop hit stop client thread kill evaluation server thread be cool do see create code target do debugger handle infinite example public class public static void args new public void public int boolean true i++ return public class public void lock method int boolean true i++ public return - public class public static void args new public void final lock new new public void run t new Thread(r1 inactive safe way do evaluation pop - text widget display
6,P2,pointer show instruction pointer code use instruction pointer marker red arrow day platform need new type marker get new marker support new desktop predefined marker use type method interface allow provide icon new marker support know render instruction pointer marker be I.e. work non - support marker attribute marker refer image use instuction pointer use highlight source image editor add marker type use instruction pointer marker hold image real image extension point class top stack frame image solid arrow other stack frame image hollow marker image support marker type display marker type instruction pointer reason instruction pointer marker root editor input element instruction pointer editor input inbox resource marker debugger editor implement instruction pointer feature
7,P2,show simple list active advanced integrate deadlock analysis monitor thread monitor thread
13,P1,navigate console output resource support console show case walkback open selection command allow open referenced resource find resource bundle key open editor low priority be # implementation internal interface implement obvious path add functionality stick code select code select helpful code assume output console package SomeType.someMethod(SomeType.java:89 user have select do file enough put cursor line parse SomeType:89 do want use qualifed method name navigation go file name use workspace find resource name file name ambigous show dialog open editor use reveal line go qualified type name use search engine look type name see example find matching package open give search engine package scope constrain search
14,P2,click button contribute pop menu resource navigator new desktop agree run debug pop menu be handy have be careful overpopulate pop menu large particular run debug context sensitive be menu addition good support position pop menu contribution support clear desktop pop menu navigator hold need make run debug
15,P4,snapshot compare involved debug nice have ability snapshot view toolbar button context menu item save current tree format time different launch snapshot current view addition diff ability handy allow different look function catchup browser think tend cautious debug make sure miss ability snapshot reassure instance check see foo variable null program have redo painful debug session
16,P4,support debug demand debug demand debaffer doc comment user testing run debug mode hit m used way explicit debug mode program nt hit debug mode debug demand hit implement launch work launcher need launch command line transport = dt_socket address = = y;suspend = n server = n default listening connector map port number launcher create method configured debug target use listening connector wait connection debug repsonsibility use # # accept # connector have implement proxy debug target connection connection have above associated system process show console output implement example launcher experiment debug mode exception hit hit hit able handle parameter able suspend inspect unclear full debug mode support become clear self host
23,P4,thread platform launch debugger suspend thread observe source file believe native do provide line investigate ask native stack location line number -1 have do special case use do help post drop
27,P1,evaluation deployment class support remote provide pluggable deployer java debug target handle provide local implementation spec approach wire map old reference collection new class layer care remote case good design follow part spec way distinguish case evaluataion need deploy new class case need deploy remote deployment builder launcher deploy class target classpath target supply deployment policy new care loading deployment wire evaluation need deployment policy new public void support # launcher provide hotswap deploy use notify target evaluation require file deployment
29,P2,launch like extensible launch able define profile analyse release provide extensible launch launch debug debug session debug target debug control run program fit above story example result debuggable target run mode possible debug trace same time debug mode current framework support profiling
31,P2,launcher present user choose list project nature filter list project proposal allow launcher resource project consider same time outliner launcher launcher project allow more flexibility specification support project arbitrary resource need more
39,P2,synch stack source synch running target let java editor debugger display source synch stack frame basis efficient more look - stack frame type stack type name source locator type output folder project binary type available sequence debugger source locator map stack frame object point source locator cache runtime stack associated type add development time cache resource delta type have debugger model presentation editor input object editor input have special name icon synch more efficient display sync info type display source stack frame lookup story sufficient updating editor save modification source lookup generate special debug editor special object editor utility build debug editor java editor special debug editor input know update debug target type qualified name java plugin maintain cache type ide debug target taget do show source synch least target attempt show relation target able use model get class file calc use non - public get class file zip calc cache demand efficient able tell synch want show - synch info target stack debug view editor
42,P1,invocation order preference create own plugin startup method set breakpoint create preference page plugin preference page contsructor set break point start go preference page select preference page observe break point startup constructor plugin mechanism plugin class mechanism workspace suspect sort configuration problem environment more information example execution environment development environment possible code example start empty workspace breakpoint super call do look other first class plugin constructor breakpoint first reach usage investitgation debugger problem add plugin startup preference page constructor seem run correct order breakpoint readme plugin example exact arg constructor println statement constructor put breakpoint println startup method println breakpoint workbench preference page occur breakpoint page constructor show stack further investigation reproduce problem course read
44,P3,printfs native code show console end execution track core library printfs get information show console exit workbench flush native code identical notification printfs limitation flushall native printfs appear
45,P2,target change structure class say instance variable indication user example error debug model code replace org.eclipse.core.internal.runtime Workspace.run(Workspace.java:1092 org.eclipse.jdt.internal.ui.javaeditor Workbench.runEventLoop(Workbench.java have way report failure core debug support resource callback knoweldge be synch info synch behaviour line understand case service debug mdoel reporting public void target exception
46,P2,run action package view outliner I d like able run package view outliner s main method outliner d acceptable run debug up main method have comment view problem package view outliner problematic @see misunderstanding I ui I d like have popup menu entry in package run contribute run action other pop up menu default i d extension default i d part I d. workbench plug in extend pop up view editor plug in order eligible extension target part publish menu workbench insert action exist menu i d menu consistency strategy part target part context menu I d part i d target part more context menu unique i d I d view i d publish target part menu runtime pop up menu workbench define in menu I d plug use group reference point insertion marker appropriate location menu insertion interested in plugin specify action in believe extension point contribute do know view 9/24/2001 right want add run action contribution consider object contribution support object wait have proposal launch
47,P1,build hot code replace failure full build target active console error model code replace org.eclipse.jdt.internal.debug.core.JavaHotCodeReplaceManager.notify NotificationManager$1.run(Notificati org.eclipse.core.internal.runtime rm.java:579 NotificationManager.notify(Notificat Workspace.build(Workspace.java:11 reproduceable self host env try workspace example happen reproduceable
